event_slug,event_title,market_id,question,decision_date,rate_move_bps,rate_move_label,observed_ts,observed_day,close_price
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1720828803.0,2024-07-13,0.013
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1720915202.0,2024-07-14,0.008
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721001603.0,2024-07-15,0.0085
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721088002.0,2024-07-16,0.01
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721174401.0,2024-07-17,0.0095
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721260802.0,2024-07-18,0.0055
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721347201.0,2024-07-19,0.0075
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721433601.0,2024-07-20,0.006
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721520001.0,2024-07-21,0.005
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721606401.0,2024-07-22,0.005
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721692801.0,2024-07-23,0.0105
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721779201.0,2024-07-24,0.0115
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721865601.0,2024-07-25,0.0175
